"id","session","handle","plugin","event","timestamp","call_id","username","callee","call_type"
52,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""SIP/2.0 180 Ringing\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bKd939.553a7d6fce77b62d13ef9eefddc4a6c1.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bKSFrBDZ223K5Np\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nTo: <sip:10005@sip.tb>;tag=v4ZD6jHvU33HB\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 35892081 INVITE\r\nContact: 10005 <sip:10005@192.168.2.82:51529>\r\nUser-Agent: WebRTC Gateway\r\nAccept: application/sdp\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:42:27.000,,,,
53,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""accepted"",""call-id"":""9b64bce9-2e61-123a-8cb5-0050568a2cf5""}",2021-05-13 07:42:33.000,,,,
54,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bKd939.553a7d6fce77b62d13ef9eefddc4a6c1.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bKSFrBDZ223K5Np\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nTo: <sip:10005@sip.tb>;tag=v4ZD6jHvU33HB\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 35892081 INVITE\r\nContact: 10005 <sip:10005@192.168.2.82:51529>\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces\r\nContent-Type: application/sdp\r\nContent-Disposition: session\r\nContent-Length: 190\r\n\r\nv=0\r\no=- 5215091495799190359 752289051216109652 IN IP4 192.168.2.82\r\ns=-\r\nt=0 0\r\nm=audio 54604 RTP/AVP 8 101\r\nc=IN IP4 192.168.2.82\r\na=rtpmap:8 PCMA/8000\r\na=rtpmap:101 telephone-event/8000\r\n""}",2021-05-13 07:42:33.000,,,,
55,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""ACK sip:10005@192.168.2.82:51529 SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bKd939.9b718b3433e01b80c096df1d5d6966a8.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bKtrH4etK60vU8H\r\nMax-Forwards: 69\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nTo: <sip:10005@sip.tb>;tag=v4ZD6jHvU33HB\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 35892081 ACK\r\nContact: <sip:mod_sofia@192.168.2.82:5090>\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:42:33.000,,,,
56,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""BYE sip:mod_sofia@192.168.2.82:5090 SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:51529;rport;branch=z9hG4bKy65De77N6gK1B\r\nRoute: <sip:192.168.2.216;lr>\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=v4ZD6jHvU33HB\r\nTo: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 957470113 BYE\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:43:03.000,,,,
57,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.82:51529;received=192.168.2.82;rport=51529;branch=z9hG4bKy65De77N6gK1B\r\nFrom: <sip:10005@sip.tb>;tag=v4ZD6jHvU33HB\r\nTo: \""\"" <sip:0000000000@192.168.2.82>;tag=a0Ft8Nc8Z1D4F\r\nCall-ID: 9b64bce9-2e61-123a-8cb5-0050568a2cf5\r\nCSeq: 957470113 BYE\r\nUser-Agent: FreeSWITCH-mod_sofia/1.8.7~64bit\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, MESSAGE, INFO, UPDATE, REGISTER, REFER, NOTIFY, PUBLISH, SUBSCRIBE\r\nSupported: timer, path, replaces\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:43:03.000,,,,
58,5659022964598328,7505575649018589,janus.plugin.sip,"{""event"":""hangup"",""call-id"":""9b64bce9-2e61-123a-8cb5-0050568a2cf5"",""code"":200,""reason"":""to BYE""}",2021-05-13 07:43:03.000,,,,
59,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:60151;rport;branch=z9hG4bKBK79BjUt9gtHc\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=BK7Dg64U169Ur\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 6d64d62b-2e62-123a-208a-0050568a2cf5\r\nCSeq: 957470226 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:60151>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:48:20.000,,,,
60,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:60151;rport;branch=z9hG4bKBK79BjUt9gtHc\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=BK7Dg64U169Ur\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 6d64d62b-2e62-123a-208a-0050568a2cf5\r\nCSeq: 957470226 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:60151>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:48:20.000,,,,
61,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.82:60151;rport=60151;branch=z9hG4bKBK79BjUt9gtHc;received=192.168.2.82\r\nFrom: <sip:10005@sip.tb>;tag=BK7Dg64U169Ur\r\nTo: <sip:10005@sip.tb>;tag=13ad6ee50629b4d5bf0e6f8bbff6cf17.5ba5faa2\r\nCall-ID: 6d64d62b-2e62-123a-208a-0050568a2cf5\r\nCSeq: 957470226 REGISTER\r\nContact: <sip:10005@192.168.2.82:60151>;expires=3600\r\nServer: kamailio (5.3.4 (x86_64/linux))\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 07:48:20.000,,,,
62,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""registered"",""identity"":""sip:10005@sip.tb"",""proxy"":""sip:sip.tb""}",2021-05-13 07:48:20.000,,,,
63,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:60151;rport;branch=z9hG4bK3B6vpUFF46gjj\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=BK7Dg64U169Ur\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 6d64d62b-2e62-123a-208a-0050568a2cf5\r\nCSeq: 957470227 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:60151>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 08:29:50.000,,,,
64,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:60151;rport;branch=z9hG4bK3B6vpUFF46gjj\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=BK7Dg64U169Ur\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 6d64d62b-2e62-123a-208a-0050568a2cf5\r\nCSeq: 957470227 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:60151>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 08:29:50.000,,,,
65,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.82:60151;rport=60151;branch=z9hG4bK3B6vpUFF46gjj;received=192.168.2.82\r\nFrom: <sip:10005@sip.tb>;tag=BK7Dg64U169Ur\r\nTo: <sip:10005@sip.tb>;tag=13ad6ee50629b4d5bf0e6f8bbff6cf17.5ba5faa2\r\nCall-ID: 6d64d62b-2e62-123a-208a-0050568a2cf5\r\nCSeq: 957470227 REGISTER\r\nContact: <sip:10005@192.168.2.82:60151>;expires=3600\r\nServer: kamailio (5.3.4 (x86_64/linux))\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 08:29:50.000,,,,
66,5165295102285698,3849004190622271,janus.plugin.sip,"{""event"":""registered"",""identity"":""sip:10005@sip.tb"",""proxy"":""sip:sip.tb""}",2021-05-13 08:29:50.000,,,,
67,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:44729;rport;branch=z9hG4bKByUgZt3Urma2a\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=Byyy3mQ75cDpr\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 711e9e33-2e71-123a-208a-0050568a2cf5\r\nCSeq: 957471838 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:44729>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 09:35:48.000,,,,
68,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""REGISTER sip:sip.tb SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:44729;rport;branch=z9hG4bKByUgZt3Urma2a\r\nMax-Forwards: 70\r\nFrom: <sip:10005@sip.tb>;tag=Byyy3mQ75cDpr\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 711e9e33-2e71-123a-208a-0050568a2cf5\r\nCSeq: 957471838 REGISTER\r\nContact: 10005 <sip:10005@192.168.2.82:44729>\r\nExpires: 3600\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces, path\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 09:35:48.000,,,,
69,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.82:44729;rport=44729;branch=z9hG4bKByUgZt3Urma2a;received=192.168.2.82\r\nFrom: <sip:10005@sip.tb>;tag=Byyy3mQ75cDpr\r\nTo: <sip:10005@sip.tb>;tag=13ad6ee50629b4d5bf0e6f8bbff6cf17.84921d7c\r\nCall-ID: 711e9e33-2e71-123a-208a-0050568a2cf5\r\nCSeq: 957471838 REGISTER\r\nContact: <sip:10005@192.168.2.82:44729>;expires=3600\r\nServer: kamailio (5.3.4 (x86_64/linux))\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 09:35:48.000,,,,
70,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""registered"",""identity"":""sip:10005@sip.tb"",""proxy"":""sip:sip.tb""}",2021-05-13 09:35:48.000,,,,
71,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""SIP/2.0 100 Trying\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bK843c.ee27d9bb6606177d64ba276c5789fdc2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bK1Q2HUQ9ycUQBK\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=Sv80BH1yyaQgp\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 88700786-2e71-123a-8cb5-0050568a2cf5\r\nCSeq: 35895502 INVITE\r\nUser-Agent: WebRTC Gateway\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 09:36:28.000,,,,
286,8248866431530854,7582164880377588,janus.plugin.sip,"{""event"":""registered"",""identity"":""sip:10005@sip.tb"",""proxy"":""sip:sip.tb""}",2021-05-14 07:13:08.000,undefined,undefined,undefined,undefined
72,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""INVITE sip:10005@192.168.2.82:44729 SIP/2.0\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bK843c.ee27d9bb6606177d64ba276c5789fdc2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bK1Q2HUQ9ycUQBK\r\nMax-Forwards: 69\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=Sv80BH1yyaQgp\r\nTo: <sip:10005@sip.tb>\r\nCall-ID: 88700786-2e71-123a-8cb5-0050568a2cf5\r\nCSeq: 35895502 INVITE\r\nContact: <sip:mod_sofia@192.168.2.82:5090>\r\nUser-Agent: FreeSWITCH-mod_sofia/1.8.7~64bit\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, MESSAGE, INFO, UPDATE, REGISTER, REFER, NOTIFY, PUBLISH, SUBSCRIBE\r\nSupported: timer, path, replaces\r\nAllow-Events: talk, hold, conference, presence, as-feature-event, dialog, line-seize, call-info, sla, include-session-description, presence.winfo, message-summary, refer\r\nContent-Type: application/sdp\r\nContent-Disposition: session\r\nContent-Length: 220\r\nX-FS-Support: update_display,send_info\r\nRemote-Party-ID: <sip:0000000000@192.168.2.82>;party=calling;screen=yes;privacy=off\r\n\r\nv=0\r\no=FreeSWITCH 1620847406 1620847407 IN IP4 192.168.2.82\r\ns=FreeSWITCH\r\nc=IN IP4 192.168.2.82\r\nt=0 0\r\nm=audio 51182 RTP/AVP 8 101\r\na=rtpmap:8 PCMA/8000\r\na=rtpmap:101 telephone-event/8000\r\na=fmtp:101 0-16\r\na=ptime:20\r\n""}",2021-05-13 09:36:28.000,,,,
73,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""incomingcall"",""call-id"":""88700786-2e71-123a-8cb5-0050568a2cf5"",""username"":""sip:0000000000@192.168.2.82"",""displayname"":""\""\"""",""callee"":""sip:10005@sip.tb""}",2021-05-13 09:36:28.000,,,,
74,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""SIP/2.0 180 Ringing\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bK843c.ee27d9bb6606177d64ba276c5789fdc2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bK1Q2HUQ9ycUQBK\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=Sv80BH1yyaQgp\r\nTo: <sip:10005@sip.tb>;tag=c7QQ5F8a3N38K\r\nCall-ID: 88700786-2e71-123a-8cb5-0050568a2cf5\r\nCSeq: 35895502 INVITE\r\nContact: 10005 <sip:10005@192.168.2.82:44729>\r\nUser-Agent: WebRTC Gateway\r\nAccept: application/sdp\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 09:36:28.000,,,,
75,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""accepted"",""call-id"":""88700786-2e71-123a-8cb5-0050568a2cf5""}",2021-05-13 09:36:34.000,,,,
76,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-out"",""sip"":""SIP/2.0 200 OK\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bK843c.ee27d9bb6606177d64ba276c5789fdc2.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bK1Q2HUQ9ycUQBK\r\nRecord-Route: <sip:192.168.2.216;lr>\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=Sv80BH1yyaQgp\r\nTo: <sip:10005@sip.tb>;tag=c7QQ5F8a3N38K\r\nCall-ID: 88700786-2e71-123a-8cb5-0050568a2cf5\r\nCSeq: 35895502 INVITE\r\nContact: 10005 <sip:10005@192.168.2.82:44729>\r\nUser-Agent: WebRTC Gateway\r\nAllow: INVITE, ACK, BYE, CANCEL, OPTIONS, UPDATE, REFER, MESSAGE, INFO, NOTIFY\r\nSupported: replaces\r\nContent-Type: application/sdp\r\nContent-Disposition: session\r\nContent-Length: 191\r\n\r\nv=0\r\no=- 2855028008445822005 6246549928877354152 IN IP4 192.168.2.82\r\ns=-\r\nt=0 0\r\nm=audio 55030 RTP/AVP 8 101\r\nc=IN IP4 192.168.2.82\r\na=rtpmap:8 PCMA/8000\r\na=rtpmap:101 telephone-event/8000\r\n""}",2021-05-13 09:36:34.000,,,,
77,5824895028972388,7015718074529657,janus.plugin.sip,"{""event"":""sip-in"",""sip"":""ACK sip:10005@192.168.2.82:44729 SIP/2.0\r\nVia: SIP/2.0/UDP 192.168.2.216;branch=z9hG4bK843c.146d42b9a19b3fc169d8c7c342f2457f.0\r\nVia: SIP/2.0/UDP 192.168.2.82:5090;received=192.168.2.82;rport=5090;branch=z9hG4bK20UaXjt293Dye\r\nMax-Forwards: 69\r\nFrom: \""\"" <sip:0000000000@192.168.2.82>;tag=Sv80BH1yyaQgp\r\nTo: <sip:10005@sip.tb>;tag=c7QQ5F8a3N38K\r\nCall-ID: 88700786-2e71-123a-8cb5-0050568a2cf5\r\nCSeq: 35895502 ACK\r\nContact: <sip:mod_sofia@192.168.2.82:5090>\r\nContent-Length: 0\r\n\r\n""}",2021-05-13 09:36:34.000,,,,
